,Begin Date,Month,Year,Price (ï¿½/100kg),scores,anomaly
1,2015-01-31,1,2015,1132,0.11297584829397689,1
2,2015-02-28,2,2015,1132,0.11297584829397689,1
3,2015-03-31,3,2015,1525,0.10251658000148667,1
4,2015-04-30,4,2015,1242,0.09053679810541826,1
5,2015-05-31,5,2015,1212,0.10479851885560088,1
6,2015-06-30,6,2015,1460,0.08157843836950451,1
7,2015-07-31,7,2015,1152,0.08831774213885063,1
8,2015-08-31,8,2015,1390,0.15958596848110845,1
9,2015-09-30,9,2015,1112,0.12499210483921136,1
10,2015-10-31,10,2015,1112,0.12499210483921136,1
11,2015-11-30,11,2015,1390,0.15958596848110845,1
12,2015-12-31,12,2015,1112,0.12499210483921136,1
13,2016-01-31,1,2016,1112,0.12499210483921136,1
14,2016-02-29,2,2016,1390,0.15958596848110845,1
15,2016-03-31,3,2016,1112,0.12499210483921136,1
16,2016-04-30,4,2016,1112,0.12499210483921136,1
17,2016-05-31,5,2016,1195,0.07600407347225968,1
20,2016-08-31,8,2016,1428,0.1027006923043301,1
21,2016-09-30,9,2016,1272,0.09774625822090843,1
22,2016-10-31,10,2016,1834,0.0912478334030074,1
23,2016-11-30,11,2016,1580,0.14087062525987332,1
24,2016-12-31,12,2016,1640,0.14839095207717662,1
25,2017-01-31,1,2017,2087,0.08066835547362944,1
26,2017-02-28,2,2017,1628,0.14801393656306117,1
27,2017-03-31,3,2017,1580,0.14087062525987332,1
28,2017-04-30,4,2017,1564,0.1318359334196687,1
29,2017-05-31,5,2017,2058,0.09353072818464209,1
30,2017-06-30,6,2017,1752,0.09805239999514387,1
31,2017-07-31,7,2017,2667,0.04015868515187215,1
32,2017-08-31,8,2017,2389,0.047675620770119775,1
33,2017-09-30,9,2017,2464,0.07284885557182591,1
35,2017-11-30,11,2017,2452,0.059054416262934395,1
36,2017-12-31,12,2017,2016,0.07190714356199956,1
37,2018-01-31,1,2018,2348,0.032142134297828084,1
38,2018-02-28,2,2018,1720,0.1240427494379861,1
39,2018-03-31,3,2018,1692,0.1408900314483425,1
40,2018-04-30,4,2018,2391,0.046572220268159104,1
41,2018-05-31,5,2018,2060,0.09353072818464209,1
42,2018-06-30,6,2018,2314,0.030937881172456994,1
44,2018-08-31,8,2018,2140,0.04088113448365316,1
45,2018-09-30,9,2018,2128,0.06734489146504063,1
46,2018-10-31,10,2018,2650,0.0261933295568495,1
47,2018-11-30,11,2018,1820,0.0845687546091643,1
48,2018-12-31,12,2018,2110,0.07535912731203787,1
49,2019-01-31,1,2019,1636,0.14661312609837002,1
50,2019-02-28,2,2019,1692,0.1408900314483425,1
51,2019-03-31,3,2019,1692,0.1408900314483425,1
52,2019-04-30,4,2019,1985,0.07596972170474736,1
53,2019-05-31,5,2019,1604,0.14212851936707938,1
54,2019-06-30,6,2019,1596,0.13962920180601573,1
55,2019-07-31,7,2019,1846,0.08867420251196928,1
56,2019-08-31,8,2019,1400,0.1418519700866535,1
57,2019-09-30,9,2019,1655,0.13659327779978897,1
58,2019-10-31,10,2019,1336,0.1543485572389941,1
59,2019-11-30,11,2019,1360,0.15180027355244857,1
60,2019-12-31,12,2019,1710,0.12071129225292587,1
61,2020-01-31,1,2020,1380,0.15564232622546703,1
62,2020-02-29,2,2020,1376,0.1532004167170114,1
63,2020-03-31,3,2020,1720,0.1240427494379861,1
64,2020-04-30,4,2020,1328,0.1504989101797422,1
65,2020-05-31,5,2020,1051,0.0037714985955363822,1
66,2020-06-30,6,2020,1322,0.13365449503877697,1
67,2020-07-31,7,2020,1214,0.10479851885560088,1
68,2020-08-31,8,2020,1613,0.14112545736914756,1
69,2020-09-30,9,2020,1335,0.1543485572389941,1
70,2020-10-31,10,2020,1344,0.15395370819384951,1
71,2020-11-30,11,2020,1680,0.13972860750996674,1
72,2020-12-31,12,2020,1344,0.15395370819384951,1
73,2021-01-31,1,2021,1332,0.15333521518015836,1
74,2021-02-28,2,2021,1284,0.10084015394798512,1
75,2021-03-31,3,2021,1648,0.14931077642948293,1
76,2021-04-30,4,2021,1406,0.13063263361206656,1
77,2021-05-31,5,2021,1954,0.07148647864329788,1
78,2021-06-30,6,2021,1554,0.1285662056148602,1
79,2021-07-31,7,2021,1565,0.13352274988549717,1
80,2021-08-31,8,2021,1882,0.07290373605718642,1
81,2021-09-30,9,2021,1515,0.0872297553573354,1
82,2021-10-31,10,2021,1619,0.14661850679268623,1
83,2021-11-30,11,2021,2279,0.019849981760306723,1
84,2021-12-31,12,2021,2076,0.08517815025806819,1
86,2022-02-28,2,2022,2442,0.044251976916060975,1
87,2022-03-31,3,2022,2463,0.07284885557182591,1
88,2022-04-30,4,2022,2498,0.029125766147529708,1
