Year,Month,Member State,Product,Price(€/100kg)
2022,Jan,Belgium,Raw milk,45.13
2022,Jan,Bulgaria,Raw milk,37.61
2022,Jan,Czechia,Raw milk,39.82
2022,Jan,Denmark,Raw milk,43.68
2022,Jan,Germany,Raw milk,43.03
2022,Jan,Estonia,Raw milk,38.67
2022,Jan,Ireland,Raw milk,46.03
2022,Jan,Greece,Raw milk,44.22
2022,Jan,Spain,Raw milk,36.02
2022,Jan,France,Raw milk,40.73
2022,Jan,Croatia,Raw milk,36.14
2022,Jan,Italy,Raw milk,39.89
2022,Jan,Cyprus,Raw milk,58.22
2022,Jan,Latvia,Raw milk,41.72
2022,Jan,Lithuania,Raw milk,44.23
2022,Jan,Hungary,Raw milk,36.01
2022,Jan,Malta,Raw milk,62
2022,Jan,Netherlands,Raw milk,45
2022,Jan,Austria,Raw milk,42.4
2022,Jan,Poland,Raw milk,40.09
2022,Jan,Portugal,Raw milk,34.19
2022,Jan,Romania,Raw milk,40.41
2022,Jan,Slovenia,Raw milk,35.93
2022,Jan,Slovakia,Raw milk,37.18
2022,Jan,Finland,Raw milk,42.38
2022,Jan,Sweden,Raw milk,42.9
2021,Jan,Belgium,Raw milk,32.87
2021,Jan,Bulgaria,Raw milk,32.54
2021,Jan,Czechia,Raw milk,32.76
2021,Jan,Denmark,Raw milk,33.74
2021,Jan,Germany,Raw milk,34.71
2021,Jan,Estonia,Raw milk,29.66
2021,Jan,Ireland,Raw milk,35.64
2021,Jan,Greece,Raw milk,38.55
2021,Jan,Spain,Raw milk,33.01
2021,Jan,France,Raw milk,36.94
2021,Jan,Croatia,Raw milk,33.87
2021,Jan,Italy,Raw milk,35.97
2021,Jan,Cyprus,Raw milk,58.67
2021,Jan,Latvia,Raw milk,29.18
2021,Jan,Lithuania,Raw milk,31.41
2021,Jan,Hungary,Raw milk,30.78
2021,Jan,Malta,Raw milk,53.03
2021,Jan,Netherlands,Raw milk,34.25
2021,Jan,Austria,Raw milk,39.32
2021,Jan,Poland,Raw milk,32.91
2021,Jan,Portugal,Raw milk,30.39
2021,Jan,Romania,Raw milk,32.44
2021,Jan,Slovenia,Raw milk,31.95
2021,Jan,Slovakia,Raw milk,32.17
2021,Jan,Finland,Raw milk,38.84
2021,Jan,Sweden,Raw milk,36.68
2020,Jan,Belgium,Raw milk,34.33
2020,Jan,Bulgaria,Raw milk,31.96
2020,Jan,Czechia,Raw milk,34.58
2020,Jan,Denmark,Raw milk,34.79
2020,Jan,Germany,Raw milk,34.92
2020,Jan,Estonia,Raw milk,31.3
2020,Jan,Ireland,Raw milk,34.67
2020,Jan,Greece,Raw milk,38.82
2020,Jan,Spain,Raw milk,32.62
2020,Jan,France,Raw milk,37.12
2020,Jan,Croatia,Raw milk,34.44
2020,Jan,Italy,Raw milk,37.49
2020,Jan,Cyprus,Raw milk,58.57
2020,Jan,Latvia,Raw milk,30.21
2020,Jan,Lithuania,Raw milk,30.84
2020,Jan,Hungary,Raw milk,32.55
2020,Jan,Malta,Raw milk,49.47
2020,Jan,Netherlands,Raw milk,35.75
2020,Jan,Austria,Raw milk,36.7
2020,Jan,Poland,Raw milk,32.76
2020,Jan,Portugal,Raw milk,30.85
2020,Jan,Romania,Raw milk,32.48
2020,Jan,Slovenia,Raw milk,33.68
2020,Jan,Slovakia,Raw milk,33.23
2020,Jan,Finland,Raw milk,38.81
2020,Jan,Sweden,Raw milk,35.21
2019,Jan,Belgium,Raw milk,33.86
2019,Jan,Bulgaria,Raw milk,30.94
2019,Jan,Czechia,Raw milk,34.66
2019,Jan,Denmark,Raw milk,34.16
2019,Jan,Germany,Raw milk,35.47
2019,Jan,Estonia,Raw milk,31.71
2019,Jan,Ireland,Raw milk,34.28
2019,Jan,Greece,Raw milk,38.88
2019,Jan,Spain,Raw milk,32.04
2019,Jan,France,Raw milk,36.12
2019,Jan,Croatia,Raw milk,33.96
2019,Jan,Italy,Raw milk,39.51
2019,Jan,Cyprus,Raw milk,58.07
2019,Jan,Latvia,Raw milk,30.21
2019,Jan,Lithuania,Raw milk,30.61
2019,Jan,Hungary,Raw milk,31.08
2019,Jan,Malta,Raw milk,48.22
2019,Jan,Netherlands,Raw milk,36.25
2019,Jan,Austria,Raw milk,38.25
2019,Jan,Poland,Raw milk,32.48
2019,Jan,Portugal,Raw milk,31.09
2019,Jan,Romania,Raw milk,31.46
2019,Jan,Slovenia,Raw milk,32.56
2019,Jan,Slovakia,Raw milk,33.26
2019,Jan,Finland,Raw milk,38.6
2019,Jan,Sweden,Raw milk,35.96
2018,Jan,Belgium,Raw milk,31.59
2018,Jan,Bulgaria,Raw milk,31.99
2018,Jan,Czechia,Raw milk,34.48
2018,Jan,Denmark,Raw milk,35.86
2018,Jan,Germany,Raw milk,36.76
2018,Jan,Estonia,Raw milk,31.86
2018,Jan,Ireland,Raw milk,39.43
2018,Jan,Greece,Raw milk,40.48
2018,Jan,Spain,Raw milk,31.94
2018,Jan,France,Raw milk,35.27
2018,Jan,Croatia,Raw milk,33.21
2018,Jan,Italy,Raw milk,36.57
2018,Jan,Cyprus,Raw milk,55.69
2018,Jan,Latvia,Raw milk,30.72
2018,Jan,Lithuania,Raw milk,30.76
2018,Jan,Luxembourg,Raw milk,34.89
2018,Jan,Hungary,Raw milk,32.13
2018,Jan,Malta,Raw milk,46.97
2018,Jan,Netherlands,Raw milk,37.5
2018,Jan,Austria,Raw milk,40.27
2018,Jan,Poland,Raw milk,34.02
2018,Jan,Portugal,Raw milk,31.16
2018,Jan,Romania,Raw milk,32.11
2018,Jan,Slovenia,Raw milk,31.1
2018,Jan,Slovakia,Raw milk,33.71
2018,Jan,Finland,Raw milk,39.22
2018,Jan,Sweden,Raw milk,37.56
2017,Jan,Belgium,Raw milk,34.97
2017,Jan,Bulgaria,Raw milk,30.94
2017,Jan,Czechia,Raw milk,27.9
2017,Jan,Denmark,Raw milk,35.37
2017,Jan,Germany,Raw milk,34.13
2017,Jan,Estonia,Raw milk,32.66
2017,Jan,Ireland,Raw milk,35.45
2017,Jan,Greece,Raw milk,38.71
2017,Jan,Spain,Raw milk,30.68
2017,Jan,France,Raw milk,34.23
2017,Jan,Croatia,Raw milk,31.69
2017,Jan,Italy,Raw milk,36.25
2017,Jan,Cyprus,Raw milk,57.14
2017,Jan,Latvia,Raw milk,31.01
2017,Jan,Lithuania,Raw milk,30.32
2017,Jan,Luxembourg,Raw milk,35.18
2017,Jan,Hungary,Raw milk,29.53
2017,Jan,Malta,Raw milk,47.16
2017,Jan,Netherlands,Raw milk,34.5
2017,Jan,Austria,Raw milk,34.88
2017,Jan,Poland,Raw milk,30.21
2017,Jan,Portugal,Raw milk,28.31
2017,Jan,Romania,Raw milk,30.82
2017,Jan,Slovenia,Raw milk,28.58
2017,Jan,Slovakia,Raw milk,29.15
2017,Jan,Finland,Raw milk,37.41
2017,Jan,Sweden,Raw milk,37
2016,Jan,Belgium,Raw milk,26.84
2016,Jan,Bulgaria,Raw milk,28.66
2016,Jan,Czechia,Raw milk,26.37
2016,Jan,Denmark,Raw milk,30.69
2016,Jan,Germany,Raw milk,28.92
2016,Jan,Estonia,Raw milk,23.43
2016,Jan,Ireland,Raw milk,28.26
2016,Jan,Greece,Raw milk,41.59
2016,Jan,Spain,Raw milk,29.9
2016,Jan,France,Raw milk,30.42
2016,Jan,Croatia,Raw milk,31.81
2016,Jan,Italy,Raw milk,34.38
2016,Jan,Cyprus,Raw milk,58.49
2016,Jan,Latvia,Raw milk,22
2016,Jan,Lithuania,Raw milk,22.57
2016,Jan,Luxembourg,Raw milk,29
2016,Jan,Hungary,Raw milk,24.76
2016,Jan,Malta,Raw milk,46.14
2016,Jan,Netherlands,Raw milk,29.25
2016,Jan,Austria,Raw milk,33.22
2016,Jan,Poland,Raw milk,26.14
2016,Jan,Portugal,Raw milk,28.64
2016,Jan,Romania,Raw milk,27.27
2016,Jan,Slovenia,Raw milk,27.45
2016,Jan,Slovakia,Raw milk,27.53
2016,Jan,Finland,Raw milk,38.07
2016,Jan,Sweden,Raw milk,32.45
2015,Jan,Belgium,Raw milk,29.09
2015,Jan,Bulgaria,Raw milk,31.72
2015,Jan,Czechia,Raw milk,29.76
2015,Jan,Denmark,Raw milk,30.99
2015,Jan,Germany,Raw milk,30.89
2015,Jan,Estonia,Raw milk,24.13
2015,Jan,Ireland,Raw milk,31.47
2015,Jan,Greece,Raw milk,42.57
2015,Jan,Spain,Raw milk,31.84
2015,Jan,France,Raw milk,31.64
2015,Jan,Croatia,Raw milk,34.54
2015,Jan,Italy,Raw milk,35.54
2015,Jan,Cyprus,Raw milk,57.8
2015,Jan,Latvia,Raw milk,22.79
2015,Jan,Lithuania,Raw milk,22.91
2015,Jan,Luxembourg,Raw milk,31.01
2015,Jan,Hungary,Raw milk,28.64
2015,Jan,Malta,Raw milk,46.17
2015,Jan,Netherlands,Raw milk,30.25
2015,Jan,Austria,Raw milk,35.14
2015,Jan,Poland,Raw milk,28.55
2015,Jan,Portugal,Raw milk,31.91
2015,Jan,Romania,Raw milk,30.01
2015,Jan,Slovenia,Raw milk,29.65
2015,Jan,Slovakia,Raw milk,30.79
2015,Jan,Finland,Raw milk,41.78
2015,Jan,Sweden,Raw milk,31.33
2014,Jan,Belgium,Raw milk,40.54
2014,Jan,Bulgaria,Raw milk,36.93
2014,Jan,Czechia,Raw milk,34.24
2014,Jan,Denmark,Raw milk,43
2014,Jan,Germany,Raw milk,41.26
2014,Jan,Estonia,Raw milk,39.52
2014,Jan,Ireland,Raw milk,42.34
2014,Jan,Greece,Raw milk,45.24
2014,Jan,Spain,Raw milk,38.16
2014,Jan,France,Raw milk,39.13
2014,Jan,Croatia,Raw milk,37.21
2014,Jan,Italy,Raw milk,40.35
2014,Jan,Cyprus,Raw milk,57.78
2014,Jan,Latvia,Raw milk,34.2
2014,Jan,Lithuania,Raw milk,36.45
2014,Jan,Luxembourg,Raw milk,40.99
2014,Jan,Hungary,Raw milk,35.73
2014,Jan,Malta,Raw milk,46.58
2014,Jan,Netherlands,Raw milk,43
2014,Jan,Austria,Raw milk,42.6
2014,Jan,Poland,Raw milk,35.8
2014,Jan,Portugal,Raw milk,36.5
2014,Jan,Slovenia,Raw milk,37.22
2014,Jan,Slovakia,Raw milk,35.8
2014,Jan,Finland,Raw milk,45.57
2014,Jan,Sweden,Raw milk,41.87
2013,Jan,Belgium,Raw milk,34.01
2013,Jan,Bulgaria,Raw milk,34
2013,Jan,Czechia,Raw milk,32
2013,Jan,Denmark,Raw milk,35.5
2013,Jan,Germany,Raw milk,34.77
2013,Jan,Estonia,Raw milk,32.19
2013,Jan,Ireland,Raw milk,33.89
2013,Jan,Greece,Raw milk,45.49
2013,Jan,Spain,Raw milk,32.72
2013,Jan,France,Raw milk,32.62
2013,Jan,Italy,Raw milk,37.84
2013,Jan,Cyprus,Raw milk,58.86
2013,Jan,Latvia,Raw milk,28.95
2013,Jan,Lithuania,Raw milk,30.41
2013,Jan,Luxembourg,Raw milk,33.54
2013,Jan,Hungary,Raw milk,31.33
2013,Jan,Malta,Raw milk,52.62
2013,Jan,Netherlands,Raw milk,35.7
2013,Jan,Austria,Raw milk,35.16
2013,Jan,Poland,Raw milk,29.75
2013,Jan,Portugal,Raw milk,31.96
2013,Jan,Romania,Raw milk,30.82
2013,Jan,Slovenia,Raw milk,30.76
2013,Jan,Slovakia,Raw milk,31.4
2013,Jan,Finland,Raw milk,45.21
2013,Jan,Sweden,Raw milk,37.01
2012,Jan,Belgium,Raw milk,31.97
2012,Jan,Bulgaria,Raw milk,33.1
2012,Jan,Czechia,Raw milk,31.84
2012,Jan,Denmark,Raw milk,36
2012,Jan,Estonia,Raw milk,32.73
2012,Jan,Ireland,Raw milk,34.48
2012,Jan,Greece,Raw milk,47.16
2012,Jan,Spain,Raw milk,32.33
2012,Jan,France,Raw milk,34.21
2012,Jan,Italy,Raw milk,38.95
2012,Jan,Cyprus,Raw milk,53.47
2012,Jan,Latvia,Raw milk,30.46
2012,Jan,Lithuania,Raw milk,29.89
2012,Jan,Luxembourg,Raw milk,33.42
2012,Jan,Hungary,Raw milk,30.08
2012,Jan,Malta,Raw milk,46.39
2012,Jan,Netherlands,Raw milk,36.5
2012,Jan,Austria,Raw milk,37.17
2012,Jan,Poland,Raw milk,28.82
2012,Jan,Portugal,Raw milk,32.08
2012,Jan,Romania,Raw milk,29.34
2012,Jan,Slovenia,Raw milk,32.42
2012,Jan,Slovakia,Raw milk,31.72
2012,Jan,Finland,Raw milk,45.18
2012,Jan,Sweden,Raw milk,37.16
2011,Jan,Belgium,Raw milk,33.09
2011,Jan,Bulgaria,Raw milk,32.24
2011,Jan,Czechia,Raw milk,32.19
2011,Jan,Denmark,Raw milk,35
2011,Jan,Germany,Raw milk,33.12
2011,Jan,Estonia,Raw milk,31
2011,Jan,Ireland,Raw milk,31.76
2011,Jan,Greece,Raw milk,39.8
2011,Jan,Spain,Raw milk,30.97
2011,Jan,France,Raw milk,33.2
2011,Jan,Italy,Raw milk,37.46
2011,Jan,Cyprus,Raw milk,51.07
2011,Jan,Latvia,Raw milk,28.19
2011,Jan,Lithuania,Raw milk,29.17
2011,Jan,Luxembourg,Raw milk,31.82
2011,Jan,Hungary,Raw milk,29.77
2011,Jan,Malta,Raw milk,45.09
2011,Jan,Netherlands,Raw milk,35.65
2011,Jan,Austria,Raw milk,34.99
2011,Jan,Poland,Raw milk,30.02
2011,Jan,Portugal,Raw milk,30.96
2011,Jan,Romania,Raw milk,27.45
2011,Jan,Slovenia,Raw milk,28.78
2011,Jan,Slovakia,Raw milk,30.86
2011,Jan,Finland,Raw milk,40.9
2011,Jan,Sweden,Raw milk,39.56
2010,Jan,Belgium,Raw milk,27.96
2010,Jan,Bulgaria,Raw milk,26.97
2010,Jan,Czechia,Raw milk,25.71
2010,Jan,Denmark,Raw milk,29.83
2010,Jan,Germany,Raw milk,28.4
2010,Jan,Estonia,Raw milk,25.44
2010,Jan,Ireland,Raw milk,27.08
2010,Jan,Greece,Raw milk,37.13
2010,Jan,Spain,Raw milk,29.71
2010,Jan,France,Raw milk,30.99
2010,Jan,Italy,Raw milk,31.09
2010,Jan,Cyprus,Raw milk,51.44
2010,Jan,Latvia,Raw milk,24.45
2010,Jan,Lithuania,Raw milk,24.71
2010,Jan,Luxembourg,Raw milk,28.43
2010,Jan,Hungary,Raw milk,24.6
2010,Jan,Netherlands,Raw milk,29.66
2010,Jan,Austria,Raw milk,30.89
2010,Jan,Poland,Raw milk,26.02
2010,Jan,Portugal,Raw milk,28.4
2010,Jan,Romania,Raw milk,25.35
2010,Jan,Slovenia,Raw milk,25.72
2010,Jan,Slovakia,Raw milk,25.84
2010,Jan,Finland,Raw milk,38.61
2010,Jan,Sweden,Raw milk,28.21
2009,Jan,Belgium,Raw milk,24.99
2009,Jan,Bulgaria,Raw milk,29.25
2009,Jan,Czechia,Raw milk,23.04
2009,Jan,Denmark,Raw milk,30.47
2009,Jan,Germany,Raw milk,26
2009,Jan,Estonia,Raw milk,24.27
2009,Jan,Ireland,Raw milk,27.6
2009,Jan,Greece,Raw milk,40.63
2009,Jan,Spain,Raw milk,33.11
2009,Jan,France,Raw milk,35.9
2009,Jan,Italy,Raw milk,33.73
2009,Jan,Cyprus,Raw milk,51.31
2009,Jan,Latvia,Raw milk,23.02
2009,Jan,Lithuania,Raw milk,19.4
2009,Jan,Luxembourg,Raw milk,31.56
2009,Jan,Hungary,Raw milk,23.57
2009,Jan,Netherlands,Raw milk,28.64
2009,Jan,Austria,Raw milk,33.17
2009,Jan,Poland,Raw milk,22.27
2009,Jan,Portugal,Raw milk,32.5
2009,Jan,Slovenia,Raw milk,30.41
2009,Jan,Slovakia,Raw milk,24.39
2009,Jan,Finland,Raw milk,44.32
2009,Jan,Sweden,Raw milk,25.92
2008,Jan,Belgium,Raw milk,39.5
2008,Jan,Czechia,Raw milk,37.54
2008,Jan,Denmark,Raw milk,39.84
2008,Jan,Germany,Raw milk,38.5
2008,Jan,Estonia,Raw milk,33.46
2008,Jan,Ireland,Raw milk,41.09
2008,Jan,Greece,Raw milk,46.34
2008,Jan,Spain,Raw milk,44.71
2008,Jan,France,Raw milk,40.93
2008,Jan,Italy,Raw milk,38
2008,Jan,Cyprus,Raw milk,49.46
2008,Jan,Latvia,Raw milk,34.05
2008,Jan,Lithuania,Raw milk,33.11
2008,Jan,Luxembourg,Raw milk,42.66
2008,Jan,Hungary,Raw milk,36.87
2008,Jan,Netherlands,Raw milk,38.97
2008,Jan,Austria,Raw milk,42.46
2008,Jan,Poland,Raw milk,34.3
2008,Jan,Portugal,Raw milk,39.4
2008,Jan,Slovenia,Raw milk,33.41
2008,Jan,Slovakia,Raw milk,35.22
2008,Jan,Finland,Raw milk,40.05
2008,Jan,Sweden,Raw milk,37.87
2007,Jan,Belgium,Raw milk,28.1
2007,Jan,Bulgaria,Raw milk,22.39
2007,Jan,Czechia,Raw milk,27.32
2007,Jan,Denmark,Raw milk,29.11
2007,Jan,Germany,Raw milk,27.05
2007,Jan,Estonia,Raw milk,24.63
2007,Jan,Ireland,Raw milk,28.3
2007,Jan,Greece,Raw milk,35.2
2007,Jan,Spain,Raw milk,30.41
2007,Jan,France,Raw milk,30.44
2007,Jan,Italy,Raw milk,32.8
2007,Jan,Cyprus,Raw milk,41
2007,Jan,Latvia,Raw milk,23.92
2007,Jan,Lithuania,Raw milk,21.79
2007,Jan,Luxembourg,Raw milk,31.75
2007,Jan,Hungary,Raw milk,27.33
2007,Jan,Netherlands,Raw milk,27.73
2007,Jan,Poland,Raw milk,26.49
2007,Jan,Portugal,Raw milk,29.1
2007,Jan,Slovenia,Raw milk,27.29
2007,Jan,Slovakia,Raw milk,27.39
2007,Jan,Finland,Raw milk,37.14
2007,Jan,Sweden,Raw milk,29.3
2006,Jan,Belgium,Raw milk,28.35
2006,Jan,Czechia,Raw milk,27.56
2006,Jan,Denmark,Raw milk,30.16
2006,Jan,Germany,Raw milk,27.25
2006,Jan,Estonia,Raw milk,24.63
2006,Jan,Ireland,Raw milk,28.11
2006,Jan,Greece,Raw milk,35.33
2006,Jan,Spain,Raw milk,30.32
2006,Jan,France,Raw milk,30.84
2006,Jan,Italy,Raw milk,32.28
2006,Jan,Cyprus,Raw milk,41.12
2006,Jan,Latvia,Raw milk,24.02
2006,Jan,Lithuania,Raw milk,21.65
2006,Jan,Luxembourg,Raw milk,31.83
2006,Jan,Hungary,Raw milk,25.4
2006,Jan,Netherlands,Raw milk,27.64
2006,Jan,Austria,Raw milk,30.7
2006,Jan,Poland,Raw milk,26.62
2006,Jan,Portugal,Raw milk,29.2
2006,Jan,Slovenia,Raw milk,26.78
2006,Jan,Slovakia,Raw milk,25.11
2006,Jan,Finland,Raw milk,35.62
2006,Jan,Sweden,Raw milk,28.39
2005,Jan,Belgium,Raw milk,29.44
2005,Jan,Czechia,Raw milk,27.05
2005,Jan,Denmark,Raw milk,29.03
2005,Jan,Germany,Raw milk,29.53
2005,Jan,Estonia,Raw milk,25.8
2005,Jan,Ireland,Raw milk,29.45
2005,Jan,Greece,Raw milk,37.04
2005,Jan,Spain,Raw milk,31.61
2005,Jan,France,Raw milk,32.16
2005,Jan,Italy,Raw milk,34.34
2005,Jan,Cyprus,Raw milk,39.86
2005,Jan,Latvia,Raw milk,18.85
2005,Jan,Lithuania,Raw milk,20.6
2005,Jan,Luxembourg,Raw milk,33.19
2005,Jan,Hungary,Raw milk,26.86
2005,Jan,Netherlands,Raw milk,28.31
2005,Jan,Poland,Raw milk,25.6
2005,Jan,Portugal,Raw milk,30.2
2005,Jan,Slovenia,Raw milk,26.44
2005,Jan,Slovakia,Raw milk,25.07
2005,Jan,Finland,Raw milk,34.42
2005,Jan,Sweden,Raw milk,31.63
2004,Jan,Slovenia,Raw milk,27.95
2003,Jan,Slovenia,Raw milk,28.43
