STATISTIC,STATISTIC Label,TLIST(A1),Year,C02069V02500,Type of Fertiliser,UNIT,VALUE
AJA05,Fertiliser Price,1980,1980,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,126
AJA05,Fertiliser Price,1980,1980,2,Urea (46% N),Euro per Tonne,159
AJA05,Fertiliser Price,1980,1980,4,Granular Superphosphate (16% P),Euro per Tonne,170
AJA05,Fertiliser Price,1980,1980,6,Muriate of Potash (50% K),Euro per Tonne,114
AJA05,Fertiliser Price,1980,1980,7,Compound 0-10-20,Euro per Tonne,138
AJA05,Fertiliser Price,1980,1980,8,Compound 0-7-30,Euro per Tonne,135
AJA05,Fertiliser Price,1980,1980,9,Compound 7-6-17,Euro per Tonne,161
AJA05,Fertiliser Price,1980,1980,10,Compound 10-10-20,Euro per Tonne,171
AJA05,Fertiliser Price,1980,1980,11,Compound 14-7-14,Euro per Tonne,161
AJA05,Fertiliser Price,1980,1980,12,Compound 18-6-12,Euro per Tonne,163
AJA05,Fertiliser Price,1980,1980,13,Compound 24-2.5-10,Euro per Tonne,166
AJA05,Fertiliser Price,1980,1980,14,Compound 27-2.5-5,Euro per Tonne,162
AJA05,Fertiliser Price,1980,1980,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1980,1980,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
AJA05,Fertiliser Price,1981,1981,2,Urea (46% N),Euro per Tonne,181
AJA05,Fertiliser Price,1981,1981,4,Granular Superphosphate (16% P),Euro per Tonne,203
AJA05,Fertiliser Price,1981,1981,6,Muriate of Potash (50% K),Euro per Tonne,135
AJA05,Fertiliser Price,1981,1981,7,Compound 0-10-20,Euro per Tonne,162
AJA05,Fertiliser Price,1981,1981,8,Compound 0-7-30,Euro per Tonne,159
AJA05,Fertiliser Price,1981,1981,9,Compound 7-6-17,Euro per Tonne,189
AJA05,Fertiliser Price,1981,1981,10,Compound 10-10-20,Euro per Tonne,197
AJA05,Fertiliser Price,1981,1981,11,Compound 14-7-14,Euro per Tonne,186
AJA05,Fertiliser Price,1981,1981,12,Compound 18-6-12,Euro per Tonne,186
AJA05,Fertiliser Price,1981,1981,13,Compound 24-2.5-10,Euro per Tonne,181
AJA05,Fertiliser Price,1981,1981,14,Compound 27-2.5-5,Euro per Tonne,178
AJA05,Fertiliser Price,1981,1981,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1981,1981,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,157
AJA05,Fertiliser Price,1982,1982,2,Urea (46% N),Euro per Tonne,197
AJA05,Fertiliser Price,1982,1982,4,Granular Superphosphate (16% P),Euro per Tonne,232
AJA05,Fertiliser Price,1982,1982,6,Muriate of Potash (50% K),Euro per Tonne,148
AJA05,Fertiliser Price,1982,1982,7,Compound 0-10-20,Euro per Tonne,168
AJA05,Fertiliser Price,1982,1982,8,Compound 0-7-30,Euro per Tonne,166
AJA05,Fertiliser Price,1982,1982,9,Compound 7-6-17,Euro per Tonne,215
AJA05,Fertiliser Price,1982,1982,10,Compound 10-10-20,Euro per Tonne,206
AJA05,Fertiliser Price,1982,1982,11,Compound 14-7-14,Euro per Tonne,193
AJA05,Fertiliser Price,1982,1982,12,Compound 18-6-12,Euro per Tonne,195
AJA05,Fertiliser Price,1982,1982,13,Compound 24-2.5-10,Euro per Tonne,197
AJA05,Fertiliser Price,1982,1982,14,Compound 27-2.5-5,Euro per Tonne,196
AJA05,Fertiliser Price,1982,1982,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1982,1982,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,158
AJA05,Fertiliser Price,1983,1983,2,Urea (46% N),Euro per Tonne,206
AJA05,Fertiliser Price,1983,1983,4,Granular Superphosphate (16% P),Euro per Tonne,241
AJA05,Fertiliser Price,1983,1983,6,Muriate of Potash (50% K),Euro per Tonne,152
AJA05,Fertiliser Price,1983,1983,7,Compound 0-10-20,Euro per Tonne,168
AJA05,Fertiliser Price,1983,1983,8,Compound 0-7-30,Euro per Tonne,166
AJA05,Fertiliser Price,1983,1983,9,Compound 7-6-17,Euro per Tonne,217
AJA05,Fertiliser Price,1983,1983,10,Compound 10-10-20,Euro per Tonne,206
AJA05,Fertiliser Price,1983,1983,11,Compound 14-7-14,Euro per Tonne,193
AJA05,Fertiliser Price,1983,1983,12,Compound 18-6-12,Euro per Tonne,194
AJA05,Fertiliser Price,1983,1983,13,Compound 24-2.5-10,Euro per Tonne,199
AJA05,Fertiliser Price,1983,1983,14,Compound 27-2.5-5,Euro per Tonne,196
AJA05,Fertiliser Price,1983,1983,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1983,1983,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,163
AJA05,Fertiliser Price,1984,1984,2,Urea (46% N),Euro per Tonne,213
AJA05,Fertiliser Price,1984,1984,4,Granular Superphosphate (16% P),Euro per Tonne,263
AJA05,Fertiliser Price,1984,1984,6,Muriate of Potash (50% K),Euro per Tonne,171
AJA05,Fertiliser Price,1984,1984,7,Compound 0-10-20,Euro per Tonne,189
AJA05,Fertiliser Price,1984,1984,8,Compound 0-7-30,Euro per Tonne,185
AJA05,Fertiliser Price,1984,1984,9,Compound 7-6-17,Euro per Tonne,235
AJA05,Fertiliser Price,1984,1984,10,Compound 10-10-20,Euro per Tonne,231
AJA05,Fertiliser Price,1984,1984,11,Compound 14-7-14,Euro per Tonne,211
AJA05,Fertiliser Price,1984,1984,12,Compound 18-6-12,Euro per Tonne,212
AJA05,Fertiliser Price,1984,1984,13,Compound 24-2.5-10,Euro per Tonne,220
AJA05,Fertiliser Price,1984,1984,14,Compound 27-2.5-5,Euro per Tonne,217
AJA05,Fertiliser Price,1984,1984,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1984,1984,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,179
AJA05,Fertiliser Price,1985,1985,2,Urea (46% N),Euro per Tonne,242
AJA05,Fertiliser Price,1985,1985,4,Granular Superphosphate (16% P),Euro per Tonne,283
AJA05,Fertiliser Price,1985,1985,6,Muriate of Potash (50% K),Euro per Tonne,194
AJA05,Fertiliser Price,1985,1985,7,Compound 0-10-20,Euro per Tonne,203
AJA05,Fertiliser Price,1985,1985,8,Compound 0-7-30,Euro per Tonne,199
AJA05,Fertiliser Price,1985,1985,9,Compound 7-6-17,Euro per Tonne,259
AJA05,Fertiliser Price,1985,1985,10,Compound 10-10-20,Euro per Tonne,255
AJA05,Fertiliser Price,1985,1985,11,Compound 14-7-14,Euro per Tonne,236
AJA05,Fertiliser Price,1985,1985,12,Compound 18-6-12,Euro per Tonne,235
AJA05,Fertiliser Price,1985,1985,13,Compound 24-2.5-10,Euro per Tonne,232
AJA05,Fertiliser Price,1985,1985,14,Compound 27-2.5-5,Euro per Tonne,227
AJA05,Fertiliser Price,1985,1985,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1985,1985,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,154
AJA05,Fertiliser Price,1986,1986,2,Urea (46% N),Euro per Tonne,195
AJA05,Fertiliser Price,1986,1986,4,Granular Superphosphate (16% P),Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,6,Muriate of Potash (50% K),Euro per Tonne,193
AJA05,Fertiliser Price,1986,1986,7,Compound 0-10-20,Euro per Tonne,179
AJA05,Fertiliser Price,1986,1986,8,Compound 0-7-30,Euro per Tonne,178
AJA05,Fertiliser Price,1986,1986,9,Compound 7-6-17,Euro per Tonne,247
AJA05,Fertiliser Price,1986,1986,10,Compound 10-10-20,Euro per Tonne,236
AJA05,Fertiliser Price,1986,1986,11,Compound 14-7-14,Euro per Tonne,219
AJA05,Fertiliser Price,1986,1986,12,Compound 18-6-12,Euro per Tonne,218
AJA05,Fertiliser Price,1986,1986,13,Compound 24-2.5-10,Euro per Tonne,218
AJA05,Fertiliser Price,1986,1986,14,Compound 27-2.5-5,Euro per Tonne,213
AJA05,Fertiliser Price,1986,1986,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
AJA05,Fertiliser Price,1987,1987,2,Urea (46% N),Euro per Tonne,140
AJA05,Fertiliser Price,1987,1987,4,Granular Superphosphate (16% P),Euro per Tonne,219
AJA05,Fertiliser Price,1987,1987,6,Muriate of Potash (50% K),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,7,Compound 0-10-20,Euro per Tonne,149
AJA05,Fertiliser Price,1987,1987,8,Compound 0-7-30,Euro per Tonne,146
AJA05,Fertiliser Price,1987,1987,9,Compound 7-6-17,Euro per Tonne,208
AJA05,Fertiliser Price,1987,1987,10,Compound 10-10-20,Euro per Tonne,181
AJA05,Fertiliser Price,1987,1987,11,Compound 14-7-14,Euro per Tonne,168
AJA05,Fertiliser Price,1987,1987,12,Compound 18-6-12,Euro per Tonne,167
AJA05,Fertiliser Price,1987,1987,13,Compound 24-2.5-10,Euro per Tonne,167
AJA05,Fertiliser Price,1987,1987,14,Compound 27-2.5-5,Euro per Tonne,164
AJA05,Fertiliser Price,1987,1987,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
AJA05,Fertiliser Price,1988,1988,2,Urea (46% N),Euro per Tonne,165
AJA05,Fertiliser Price,1988,1988,4,Granular Superphosphate (16% P),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,6,Muriate of Potash (50% K),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,7,Compound 0-10-20,Euro per Tonne,163
AJA05,Fertiliser Price,1988,1988,8,Compound 0-7-30,Euro per Tonne,159
AJA05,Fertiliser Price,1988,1988,9,Compound 7-6-17,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,10,Compound 10-10-20,Euro per Tonne,195
AJA05,Fertiliser Price,1988,1988,11,Compound 14-7-14,Euro per Tonne,187
AJA05,Fertiliser Price,1988,1988,12,Compound 18-6-12,Euro per Tonne,181
AJA05,Fertiliser Price,1988,1988,13,Compound 24-2.5-10,Euro per Tonne,175
AJA05,Fertiliser Price,1988,1988,14,Compound 27-2.5-5,Euro per Tonne,172
AJA05,Fertiliser Price,1988,1988,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
AJA05,Fertiliser Price,1989,1989,2,Urea (46% N),Euro per Tonne,189
AJA05,Fertiliser Price,1989,1989,4,Granular Superphosphate (16% P),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,6,Muriate of Potash (50% K),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,7,Compound 0-10-20,Euro per Tonne,177
AJA05,Fertiliser Price,1989,1989,8,Compound 0-7-30,Euro per Tonne,174
AJA05,Fertiliser Price,1989,1989,9,Compound 7-6-17,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,10,Compound 10-10-20,Euro per Tonne,209
AJA05,Fertiliser Price,1989,1989,11,Compound 14-7-14,Euro per Tonne,199
AJA05,Fertiliser Price,1989,1989,12,Compound 18-6-12,Euro per Tonne,196
AJA05,Fertiliser Price,1989,1989,13,Compound 24-2.5-10,Euro per Tonne,191
AJA05,Fertiliser Price,1989,1989,14,Compound 27-2.5-5,Euro per Tonne,187
AJA05,Fertiliser Price,1989,1989,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
AJA05,Fertiliser Price,1990,1990,2,Urea (46% N),Euro per Tonne,178
AJA05,Fertiliser Price,1990,1990,4,Granular Superphosphate (16% P),Euro per Tonne,246
AJA05,Fertiliser Price,1990,1990,6,Muriate of Potash (50% K),Euro per Tonne,193
AJA05,Fertiliser Price,1990,1990,7,Compound 0-10-20,Euro per Tonne,174
AJA05,Fertiliser Price,1990,1990,8,Compound 0-7-30,Euro per Tonne,172
AJA05,Fertiliser Price,1990,1990,9,Compound 7-6-17,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,10,Compound 10-10-20,Euro per Tonne,210
AJA05,Fertiliser Price,1990,1990,11,Compound 14-7-14,Euro per Tonne,199
AJA05,Fertiliser Price,1990,1990,12,Compound 18-6-12,Euro per Tonne,196
AJA05,Fertiliser Price,1990,1990,13,Compound 24-2.5-10,Euro per Tonne,191
AJA05,Fertiliser Price,1990,1990,14,Compound 27-2.5-5,Euro per Tonne,186
AJA05,Fertiliser Price,1990,1990,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,17,Compound 20-4-10,Euro per Tonne,
