STATISTIC Label,Month,Product,UNIT,VALUE
Production of Dairy Products,1980 January,Butter,000 Tonnes,1.8
Production of Dairy Products,1980 February,Butter,000 Tonnes,4.4
Production of Dairy Products,1980 March,Butter,000 Tonnes,8.7
Production of Dairy Products,1980 April,Butter,000 Tonnes,13.7
Production of Dairy Products,1980 May,Butter,000 Tonnes,17.3
Production of Dairy Products,1980 June,Butter,000 Tonnes,15.5
Production of Dairy Products,1980 July,Butter,000 Tonnes,14.6
Production of Dairy Products,1980 August,Butter,000 Tonnes,12.2
Production of Dairy Products,1980 September,Butter,000 Tonnes,9.7
Production of Dairy Products,1980 October,Butter,000 Tonnes,8
Production of Dairy Products,1980 November,Butter,000 Tonnes,3.5
Production of Dairy Products,1980 December,Butter,000 Tonnes,1.6
Production of Dairy Products,1981 January,Butter,000 Tonnes,1.8
Production of Dairy Products,1981 February,Butter,000 Tonnes,4.7
Production of Dairy Products,1981 March,Butter,000 Tonnes,9.4
Production of Dairy Products,1981 April,Butter,000 Tonnes,13.4
Production of Dairy Products,1981 May,Butter,000 Tonnes,15.2
Production of Dairy Products,1981 June,Butter,000 Tonnes,16.3
Production of Dairy Products,1981 July,Butter,000 Tonnes,14.9
Production of Dairy Products,1981 August,Butter,000 Tonnes,12.9
Production of Dairy Products,1981 September,Butter,000 Tonnes,10.2
Production of Dairy Products,1981 October,Butter,000 Tonnes,8.4
Production of Dairy Products,1981 November,Butter,000 Tonnes,3.4
Production of Dairy Products,1981 December,Butter,000 Tonnes,1.6
Production of Dairy Products,1982 January,Butter,000 Tonnes,2.1
Production of Dairy Products,1982 February,Butter,000 Tonnes,5.3
Production of Dairy Products,1982 March,Butter,000 Tonnes,10.3
Production of Dairy Products,1982 April,Butter,000 Tonnes,14.8
Production of Dairy Products,1982 May,Butter,000 Tonnes,18.7
Production of Dairy Products,1982 June,Butter,000 Tonnes,19.5
Production of Dairy Products,1982 July,Butter,000 Tonnes,16.3
Production of Dairy Products,1982 August,Butter,000 Tonnes,13.9
Production of Dairy Products,1982 September,Butter,000 Tonnes,13
Production of Dairy Products,1982 October,Butter,000 Tonnes,10.8
Production of Dairy Products,1982 November,Butter,000 Tonnes,5.4
Production of Dairy Products,1982 December,Butter,000 Tonnes,2.7
Production of Dairy Products,1983 January,Butter,000 Tonnes,3.2
Production of Dairy Products,1983 February,Butter,000 Tonnes,6.7
Production of Dairy Products,1983 March,Butter,000 Tonnes,13.2
Production of Dairy Products,1983 April,Butter,000 Tonnes,17.6
Production of Dairy Products,1983 May,Butter,000 Tonnes,22.1
Production of Dairy Products,1983 June,Butter,000 Tonnes,22.9
Production of Dairy Products,1983 July,Butter,000 Tonnes,19.2
Production of Dairy Products,1983 August,Butter,000 Tonnes,17.8
Production of Dairy Products,1983 September,Butter,000 Tonnes,14.9
Production of Dairy Products,1983 October,Butter,000 Tonnes,11.5
Production of Dairy Products,1983 November,Butter,000 Tonnes,6
Production of Dairy Products,1983 December,Butter,000 Tonnes,3.1
Production of Dairy Products,1984 January,Butter,000 Tonnes,3.9
Production of Dairy Products,1984 February,Butter,000 Tonnes,7.9
Production of Dairy Products,1984 March,Butter,000 Tonnes,13.4
Production of Dairy Products,1984 April,Butter,000 Tonnes,18.5
Production of Dairy Products,1984 May,Butter,000 Tonnes,25.1
Production of Dairy Products,1984 June,Butter,000 Tonnes,23.6
Production of Dairy Products,1984 July,Butter,000 Tonnes,21.1
Production of Dairy Products,1984 August,Butter,000 Tonnes,19
Production of Dairy Products,1984 September,Butter,000 Tonnes,13.1
Production of Dairy Products,1984 October,Butter,000 Tonnes,10.9
Production of Dairy Products,1984 November,Butter,000 Tonnes,5.7
Production of Dairy Products,1984 December,Butter,000 Tonnes,2.7
Production of Dairy Products,1985 January,Butter,000 Tonnes,4.6
Production of Dairy Products,1985 February,Butter,000 Tonnes,8
Production of Dairy Products,1985 March,Butter,000 Tonnes,12.6
Production of Dairy Products,1985 April,Butter,000 Tonnes,19.2
Production of Dairy Products,1985 May,Butter,000 Tonnes,25.6
Production of Dairy Products,1985 June,Butter,000 Tonnes,22
Production of Dairy Products,1985 July,Butter,000 Tonnes,21.9
Production of Dairy Products,1985 August,Butter,000 Tonnes,17.1
Production of Dairy Products,1985 September,Butter,000 Tonnes,12.1
Production of Dairy Products,1985 October,Butter,000 Tonnes,10.1
Production of Dairy Products,1985 November,Butter,000 Tonnes,4.8
Production of Dairy Products,1985 December,Butter,000 Tonnes,2.4
Production of Dairy Products,1986 January,Butter,000 Tonnes,3.3
Production of Dairy Products,1986 February,Butter,000 Tonnes,6.7
Production of Dairy Products,1986 March,Butter,000 Tonnes,11.6
Production of Dairy Products,1986 April,Butter,000 Tonnes,16
Production of Dairy Products,1986 May,Butter,000 Tonnes,22.3
Production of Dairy Products,1986 June,Butter,000 Tonnes,22.6
Production of Dairy Products,1986 July,Butter,000 Tonnes,21
Production of Dairy Products,1986 August,Butter,000 Tonnes,16.4
Production of Dairy Products,1986 September,Butter,000 Tonnes,13.4
Production of Dairy Products,1986 October,Butter,000 Tonnes,11.4
Production of Dairy Products,1986 November,Butter,000 Tonnes,5.8
Production of Dairy Products,1986 December,Butter,000 Tonnes,2.9
Production of Dairy Products,1987 January,Butter,000 Tonnes,3.2
Production of Dairy Products,1987 February,Butter,000 Tonnes,5.4
Production of Dairy Products,1987 March,Butter,000 Tonnes,10.2
Production of Dairy Products,1987 April,Butter,000 Tonnes,14.7
Production of Dairy Products,1987 May,Butter,000 Tonnes,18
Production of Dairy Products,1987 June,Butter,000 Tonnes,18.4
Production of Dairy Products,1987 July,Butter,000 Tonnes,18.8
Production of Dairy Products,1987 August,Butter,000 Tonnes,15.1
Production of Dairy Products,1987 September,Butter,000 Tonnes,13.4
Production of Dairy Products,1987 October,Butter,000 Tonnes,10.4
Production of Dairy Products,1987 November,Butter,000 Tonnes,4.5
Production of Dairy Products,1987 December,Butter,000 Tonnes,2.4
Production of Dairy Products,1988 January,Butter,000 Tonnes,2.4
Production of Dairy Products,1988 February,Butter,000 Tonnes,4.7
Production of Dairy Products,1988 March,Butter,000 Tonnes,9.7
Production of Dairy Products,1988 April,Butter,000 Tonnes,13
Production of Dairy Products,1988 May,Butter,000 Tonnes,17.7
Production of Dairy Products,1988 June,Butter,000 Tonnes,17.5
Production of Dairy Products,1988 July,Butter,000 Tonnes,15.5
Production of Dairy Products,1988 August,Butter,000 Tonnes,15.9
Production of Dairy Products,1988 September,Butter,000 Tonnes,12.6
Production of Dairy Products,1988 October,Butter,000 Tonnes,8.3
Production of Dairy Products,1988 November,Butter,000 Tonnes,4.5
Production of Dairy Products,1988 December,Butter,000 Tonnes,2.1
Production of Dairy Products,1989 January,Butter,000 Tonnes,3
Production of Dairy Products,1989 February,Butter,000 Tonnes,5
Production of Dairy Products,1989 March,Butter,000 Tonnes,10.3
Production of Dairy Products,1989 April,Butter,000 Tonnes,14.1
Production of Dairy Products,1989 May,Butter,000 Tonnes,21.4
Production of Dairy Products,1989 June,Butter,000 Tonnes,19.9
Production of Dairy Products,1989 July,Butter,000 Tonnes,16.6
Production of Dairy Products,1989 August,Butter,000 Tonnes,16.4
Production of Dairy Products,1989 September,Butter,000 Tonnes,12.9
Production of Dairy Products,1989 October,Butter,000 Tonnes,10.1
Production of Dairy Products,1989 November,Butter,000 Tonnes,6.5
Production of Dairy Products,1989 December,Butter,000 Tonnes,2.8
Production of Dairy Products,1990 January,Butter,000 Tonnes,3.4
Production of Dairy Products,1990 February,Butter,000 Tonnes,6
Production of Dairy Products,1990 March,Butter,000 Tonnes,11.1
Production of Dairy Products,1990 April,Butter,000 Tonnes,15.6
Production of Dairy Products,1990 May,Butter,000 Tonnes,20.9
Production of Dairy Products,1990 June,Butter,000 Tonnes,19.2
Production of Dairy Products,1990 July,Butter,000 Tonnes,19.8
Production of Dairy Products,1990 August,Butter,000 Tonnes,19.1
Production of Dairy Products,1990 September,Butter,000 Tonnes,13.9
Production of Dairy Products,1990 October,Butter,000 Tonnes,11.1
Production of Dairy Products,1990 November,Butter,000 Tonnes,5.7
Production of Dairy Products,1990 December,Butter,000 Tonnes,2.7
Production of Dairy Products,1991 January,Butter,000 Tonnes,3.3
Production of Dairy Products,1991 February,Butter,000 Tonnes,5.9
Production of Dairy Products,1991 March,Butter,000 Tonnes,11.3
Production of Dairy Products,1991 April,Butter,000 Tonnes,17.1
Production of Dairy Products,1991 May,Butter,000 Tonnes,22.8
Production of Dairy Products,1991 June,Butter,000 Tonnes,18.8
Production of Dairy Products,1991 July,Butter,000 Tonnes,19.1
Production of Dairy Products,1991 August,Butter,000 Tonnes,14.7
Production of Dairy Products,1991 September,Butter,000 Tonnes,10.9
Production of Dairy Products,1991 October,Butter,000 Tonnes,9.1
Production of Dairy Products,1991 November,Butter,000 Tonnes,4
Production of Dairy Products,1991 December,Butter,000 Tonnes,3
Production of Dairy Products,1992 January,Butter,000 Tonnes,3.9
Production of Dairy Products,1992 February,Butter,000 Tonnes,5.8
Production of Dairy Products,1992 March,Butter,000 Tonnes,10.4
Production of Dairy Products,1992 April,Butter,000 Tonnes,15
Production of Dairy Products,1992 May,Butter,000 Tonnes,16.5
Production of Dairy Products,1992 June,Butter,000 Tonnes,17.7
Production of Dairy Products,1992 July,Butter,000 Tonnes,16.9
Production of Dairy Products,1992 August,Butter,000 Tonnes,14.8
Production of Dairy Products,1992 September,Butter,000 Tonnes,12.5
Production of Dairy Products,1992 October,Butter,000 Tonnes,10.2
Production of Dairy Products,1992 November,Butter,000 Tonnes,5.3
Production of Dairy Products,1992 December,Butter,000 Tonnes,4.5
Production of Dairy Products,1993 January,Butter,000 Tonnes,3
Production of Dairy Products,1993 February,Butter,000 Tonnes,4.7
Production of Dairy Products,1993 March,Butter,000 Tonnes,10.9
Production of Dairy Products,1993 April,Butter,000 Tonnes,13.5
Production of Dairy Products,1993 May,Butter,000 Tonnes,16.5
Production of Dairy Products,1993 June,Butter,000 Tonnes,17.5
Production of Dairy Products,1993 July,Butter,000 Tonnes,16.4
Production of Dairy Products,1993 August,Butter,000 Tonnes,14.4
Production of Dairy Products,1993 September,Butter,000 Tonnes,11.8
Production of Dairy Products,1993 October,Butter,000 Tonnes,9.2
Production of Dairy Products,1993 November,Butter,000 Tonnes,6
Production of Dairy Products,1993 December,Butter,000 Tonnes,3.8
Production of Dairy Products,1994 January,Butter,000 Tonnes,3
Production of Dairy Products,1994 February,Butter,000 Tonnes,4.4
Production of Dairy Products,1994 March,Butter,000 Tonnes,9.6
Production of Dairy Products,1994 April,Butter,000 Tonnes,13
Production of Dairy Products,1994 May,Butter,000 Tonnes,17.7
Production of Dairy Products,1994 June,Butter,000 Tonnes,17.7
Production of Dairy Products,1994 July,Butter,000 Tonnes,17
Production of Dairy Products,1994 August,Butter,000 Tonnes,15.5
Production of Dairy Products,1994 September,Butter,000 Tonnes,11.1
Production of Dairy Products,1994 October,Butter,000 Tonnes,8.5
Production of Dairy Products,1994 November,Butter,000 Tonnes,6
Production of Dairy Products,1994 December,Butter,000 Tonnes,3.5
Production of Dairy Products,1995 January,Butter,000 Tonnes,3.3
Production of Dairy Products,1995 February,Butter,000 Tonnes,4.4
Production of Dairy Products,1995 March,Butter,000 Tonnes,10
Production of Dairy Products,1995 April,Butter,000 Tonnes,14.5
Production of Dairy Products,1995 May,Butter,000 Tonnes,20.8
Production of Dairy Products,1995 June,Butter,000 Tonnes,20
Production of Dairy Products,1995 July,Butter,000 Tonnes,17
Production of Dairy Products,1995 August,Butter,000 Tonnes,17.3
Production of Dairy Products,1995 September,Butter,000 Tonnes,11.5
Production of Dairy Products,1995 October,Butter,000 Tonnes,11.9
Production of Dairy Products,1995 November,Butter,000 Tonnes,7.7
Production of Dairy Products,1995 December,Butter,000 Tonnes,4
Production of Dairy Products,1996 January,Butter,000 Tonnes,3.6
Production of Dairy Products,1996 February,Butter,000 Tonnes,5.4
Production of Dairy Products,1996 March,Butter,000 Tonnes,9.9
Production of Dairy Products,1996 April,Butter,000 Tonnes,16.6
Production of Dairy Products,1996 May,Butter,000 Tonnes,21.2
Production of Dairy Products,1996 June,Butter,000 Tonnes,18.7
Production of Dairy Products,1996 July,Butter,000 Tonnes,19.7
Production of Dairy Products,1996 August,Butter,000 Tonnes,17.4
Production of Dairy Products,1996 September,Butter,000 Tonnes,12.7
Production of Dairy Products,1996 October,Butter,000 Tonnes,9.7
Production of Dairy Products,1996 November,Butter,000 Tonnes,4.4
Production of Dairy Products,1996 December,Butter,000 Tonnes,2.4
Production of Dairy Products,1997 January,Butter,000 Tonnes,2
Production of Dairy Products,1997 February,Butter,000 Tonnes,3.5
Production of Dairy Products,1997 March,Butter,000 Tonnes,9.3
Production of Dairy Products,1997 April,Butter,000 Tonnes,16.8
Production of Dairy Products,1997 May,Butter,000 Tonnes,20.1
Production of Dairy Products,1997 June,Butter,000 Tonnes,19
Production of Dairy Products,1997 July,Butter,000 Tonnes,18.9
Production of Dairy Products,1997 August,Butter,000 Tonnes,15.9
Production of Dairy Products,1997 September,Butter,000 Tonnes,13.9
Production of Dairy Products,1997 October,Butter,000 Tonnes,11.1
Production of Dairy Products,1997 November,Butter,000 Tonnes,5.2
Production of Dairy Products,1997 December,Butter,000 Tonnes,3
Production of Dairy Products,1998 January,Butter,000 Tonnes,2.5
Production of Dairy Products,1998 February,Butter,000 Tonnes,3.7
Production of Dairy Products,1998 March,Butter,000 Tonnes,8.7
Production of Dairy Products,1998 April,Butter,000 Tonnes,14.7
Production of Dairy Products,1998 May,Butter,000 Tonnes,16.3
Production of Dairy Products,1998 June,Butter,000 Tonnes,18.4
Production of Dairy Products,1998 July,Butter,000 Tonnes,18
Production of Dairy Products,1998 August,Butter,000 Tonnes,16.2
Production of Dairy Products,1998 September,Butter,000 Tonnes,13.7
Production of Dairy Products,1998 October,Butter,000 Tonnes,10.4
Production of Dairy Products,1998 November,Butter,000 Tonnes,4.8
Production of Dairy Products,1998 December,Butter,000 Tonnes,3.8
Production of Dairy Products,1999 January,Butter,000 Tonnes,2.5
Production of Dairy Products,1999 February,Butter,000 Tonnes,3.6
Production of Dairy Products,1999 March,Butter,000 Tonnes,10.7
Production of Dairy Products,1999 April,Butter,000 Tonnes,15.1
Production of Dairy Products,1999 May,Butter,000 Tonnes,18.4
Production of Dairy Products,1999 June,Butter,000 Tonnes,17.8
Production of Dairy Products,1999 July,Butter,000 Tonnes,17.4
Production of Dairy Products,1999 August,Butter,000 Tonnes,15.5
Production of Dairy Products,1999 September,Butter,000 Tonnes,13
Production of Dairy Products,1999 October,Butter,000 Tonnes,10.3
Production of Dairy Products,1999 November,Butter,000 Tonnes,7.1
Production of Dairy Products,1999 December,Butter,000 Tonnes,3.8
Production of Dairy Products,2000 January,Butter,000 Tonnes,3.4
Production of Dairy Products,2000 February,Butter,000 Tonnes,5.2
Production of Dairy Products,2000 March,Butter,000 Tonnes,10.3
Production of Dairy Products,2000 April,Butter,000 Tonnes,15.1
Production of Dairy Products,2000 May,Butter,000 Tonnes,19.2
Production of Dairy Products,2000 June,Butter,000 Tonnes,18.3
Production of Dairy Products,2000 July,Butter,000 Tonnes,16.7
Production of Dairy Products,2000 August,Butter,000 Tonnes,15.5
Production of Dairy Products,2000 September,Butter,000 Tonnes,12.9
Production of Dairy Products,2000 October,Butter,000 Tonnes,11.1
Production of Dairy Products,2000 November,Butter,000 Tonnes,4.7
Production of Dairy Products,2000 December,Butter,000 Tonnes,3.1
Production of Dairy Products,2001 January,Butter,000 Tonnes,2.9
Production of Dairy Products,2001 February,Butter,000 Tonnes,4
Production of Dairy Products,2001 March,Butter,000 Tonnes,8.1
Production of Dairy Products,2001 April,Butter,000 Tonnes,12.6
Production of Dairy Products,2001 May,Butter,000 Tonnes,17.3
