,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @DewsReporter: The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families during the…","RT @DewsReporter: The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families during the…",0.0,0.0,positive,,,,
1,"@PhyJoEnterprise Oh.......lessee

Smooth
Miracle Whip
Irish Butter
Room Temp
Definitely 'Mean Tweets'     .... 'cau… https://t.co/hR9GXVLhTG","@PhyJoEnterprise Oh.......lessee

Smooth
Miracle Whip
Irish Butter
Room Temp
Definitely 'Mean Tweets'     .... 'cau… https://t.co/hR9GXVLhTG",0.029166666666666674,0.3958333333333333,positive,,,,
2,"@bipolar_aries @x6ixx_ @ez3ll @Lewis_Ryan321 @blackstudiesbae This doesn’t even include butter, milk and garlic for… https://t.co/nTX5RYHCp1","@bipolar_aries @x6ixx_ @ez3ll @Lewis_Ryan321 @blackstudiesbae This doesn’t even include butter, milk and garlic for… https://t.co/nTX5RYHCp1",0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,"@HeatherAntos Not super weird, except for maybe my reasoning. Peanut butter on Eggos instead of maple syrup. It mea… https://t.co/IJoGnJF6FF","@HeatherAntos Not super weird, except for maybe my reasoning. Peanut butter on Eggos instead of maple syrup. It mea… https://t.co/IJoGnJF6FF",-0.3333333333333333,0.8333333333333333,negative,,,,
5,"@JustinTrudeau Right that's why a bag of milk, a carton of 12eggs and bread and a thing of butter cost me $44.59 right","@JustinTrudeau Right that's why a bag of milk, a carton of 12eggs and bread and a thing of butter cost me $44.59 right",0.2857142857142857,0.5357142857142857,neutral,0.0,1.0,0.0,0.0
8,"The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families durin… https://t.co/gQv8uWNRMk","The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families durin… https://t.co/gQv8uWNRMk",0.0,0.0,positive,,,,
9,@ariszsalleh Bro should be ok because the cost of butter is high we got to understand their cost too,@ariszsalleh Bro should be ok because the cost of butter is high we got to understand their cost too,0.33,0.52,positive,,,,
10,"@spaceangel1964 @exilefromgroggs @OBR_UK Sunak just disingenuous .Fails to acknowledge that whilst inflation , as Y… https://t.co/0gljokfAoC","@spaceangel1964 @exilefromgroggs @OBR_UK Sunak just disingenuous .Fails to acknowledge that whilst inflation , as Y… https://t.co/0gljokfAoC",0.0,0.0,negative,,,,
11,@buzzandhum @A_G_Hawkins I once convinced my sister that the microwave did this if you put things in on low. Cost u… https://t.co/cq96nbdeXX,@buzzandhum @A_G_Hawkins I once convinced my sister that the microwave did this if you put things in on low. Cost u… https://t.co/cq96nbdeXX,0.0,0.3,positive,,,,
12,"Core #inflation in 2022 is predicted to be around 32%, with significant increases in the #cost of fuel, eggs, flour… https://t.co/JJ2TEfDwkV","Core #inflation in 2022 is predicted to be around 32%, with significant increases in the #cost of fuel, eggs, flour… https://t.co/JJ2TEfDwkV",0.375,0.875,positive,,,,
13,"RT @BostonJerry: The price of groceries and rent will never go back down.

In one year, they made cost of living go up so much that any rai…","RT @BostonJerry: The price of groceries and rent will never go back down.

In one year, they made cost of living go up so much that any rai…",0.014814814814814808,0.16296296296296298,neutral,0.0,1.0,0.0,0.0
14,"RT @mskathleenquinn: Guns or butter?
“Federal subsidies for Paxlovid and vaccines expire in January. The out-of-pocket cost is expected to…","RT @mskathleenquinn: Guns or butter?
“Federal subsidies for Paxlovid and vaccines expire in January. The out-of-pocket cost is expected to…",-0.1,0.4,neutral,0.0,1.0,0.0,0.0
16,"Nut butters are so expensive these days,
they cost an almond a leg.

A review of #TraderJoes Raw Almond Butter:… https://t.co/DlUwaNS6nw","Nut butters are so expensive these days,
they cost an almond a leg.

A review of #TraderJoes Raw Almond Butter:… https://t.co/DlUwaNS6nw",-0.3653846153846154,0.5807692307692307,neutral,0.0,1.0,0.0,0.0
17,RT @kthtease: BIG REMINDER: DON'T CONSUME/READ ARTICLES THAT INVADE BTS PRIVACY! don't give clout to clout chasers that will exploit bts at…,RT @kthtease: BIG REMINDER: DON'T CONSUME/READ ARTICLES THAT INVADE BTS PRIVACY! don't give clout to clout chasers that will exploit bts at…,0.0,0.1,negative,,,,
18,"@iamcardib Eating outside could never cost less than preparing your own food. Rice, dried or canned beans and veget… https://t.co/IzMUyQxgnH","@iamcardib Eating outside could never cost less than preparing your own food. Rice, dried or canned beans and veget… https://t.co/IzMUyQxgnH",0.058333333333333334,0.4291666666666667,neutral,0.0,1.0,0.0,0.0
19,"We had a   Breakfast in morrisons today.. sourdough toast, lurpack butter,  cooked to order,  cost us a third of ou… https://t.co/nIbMHfpmiD","We had a   Breakfast in morrisons today.. sourdough toast, lurpack butter,  cooked to order,  cost us a third of ou… https://t.co/nIbMHfpmiD",0.0,0.0,neutral,0.0,1.0,0.0,0.0
21,"I'm quite proud of myself, I made a butter mountain! 4lb.3oz of butter from cream that cost £5.47. If you assume bu… https://t.co/YT4YzFumob","I'm quite proud of myself, I made a butter mountain! 4lb.3oz of butter from cream that cost £5.47. If you assume bu… https://t.co/YT4YzFumob",1.0,1.0,positive,,,,
22,@iamcardib At least if you eat at home or make your own sandwich you know what is going into your meal. Also Most r… https://t.co/lFzVfxFG35,@iamcardib At least if you eat at home or make your own sandwich you know what is going into your meal. Also Most r… https://t.co/lFzVfxFG35,0.26666666666666666,0.6333333333333333,neutral,0.0,1.0,0.0,0.0
23,"@violet24619835 @AlanFresco4 I doubt the next GE will be about brexit, it'll be about cost of living, public servic… https://t.co/zZxmwCxIL4","@violet24619835 @AlanFresco4 I doubt the next GE will be about brexit, it'll be about cost of living, public servic… https://t.co/zZxmwCxIL4",0.0,0.03333333333333333,negative,,,,
24,"With butter prices soaring, supply shortages, a cost of living crisis and more people wanting to eat plant-based fo… https://t.co/75aSQN97ie","With butter prices soaring, supply shortages, a cost of living crisis and more people wanting to eat plant-based fo… https://t.co/75aSQN97ie",0.5,0.5,negative,,,,
25,"RT @DARTHKORNDOG: All my @GroveToken #GroveToken is now unstaked, cost next to nothing, transaction was fast, and went smooth as butter.

T…","RT @DARTHKORNDOG: All my @GroveToken #GroveToken is now unstaked, cost next to nothing, transaction was fast, and went smooth as butter.

T…",0.20000000000000004,0.3666666666666667,neutral,0.0,1.0,0.0,0.0
26,"Good news, everybody. Maine's lobstermen have won their lawsuit over environmentalists, which means you'll be able… https://t.co/4dHhyMtpHz","Good news, everybody. Maine's lobstermen have won their lawsuit over environmentalists, which means you'll be able… https://t.co/4dHhyMtpHz",0.7,0.6000000000000001,positive,,,,
27,"@drclawscat It's a very expensive soup, which thankfully only cost me £1.08, because it was completely tasteless. I… https://t.co/jiiNHIVAzj","@drclawscat It's a very expensive soup, which thankfully only cost me £1.08, because it was completely tasteless. I… https://t.co/jiiNHIVAzj",-0.4166666666666667,0.9366666666666666,positive,,,,
28,RT @AmyDonohoe1: No cost of living crisis with Kourtney Kardashian. I’m here using own branded butter to try save a few pound.,RT @AmyDonohoe1: No cost of living crisis with Kourtney Kardashian. I’m here using own branded butter to try save a few pound.,0.19999999999999998,0.55,negative,,,,
29,No cost of living crisis with Kourtney Kardashian. I’m here using own branded butter to try save a few pound. https://t.co/EJdDlQlLN6,No cost of living crisis with Kourtney Kardashian. I’m here using own branded butter to try save a few pound. https://t.co/EJdDlQlLN6,0.19999999999999998,0.55,negative,,,,
30,"Today, I bought my favorite buttered poppyseed bagel from a street vendor, however, there was hardly any butter.  W… https://t.co/Dey2TTPLi9","Today, I bought my favorite buttered poppyseed bagel from a street vendor, however, there was hardly any butter.  W… https://t.co/Dey2TTPLi9",0.10416666666666666,0.7708333333333333,positive,,,,
31,"@ssefnum Halo sender, izin jawab ya. Cookies itu mahal bukan sekadar 'bahannya mudah didapat', tapi quality of the… https://t.co/KGQpFrauAH","@ssefnum Halo sender, izin jawab ya. Cookies itu mahal bukan sekadar 'bahannya mudah didapat', tapi quality of the… https://t.co/KGQpFrauAH",0.0,0.0,neutral,0.0,1.0,0.0,0.0
32,"@goldcrownmilk Great, country wide is the key word.
Success. Also butter,skimmed milk etc &amp; of course good quality for the cost.","@goldcrownmilk Great, country wide is the key word.
Success. Also butter,skimmed milk etc &amp; of course good quality for the cost.",0.33999999999999997,0.55,positive,,,,
33,"@hannaween3 I’ve not tried a sweet jam I didn’t like with peanut butter in all honesty, if I had to pick a top thre… https://t.co/yGikjKpMwv","@hannaween3 I’ve not tried a sweet jam I didn’t like with peanut butter in all honesty, if I had to pick a top thre… https://t.co/yGikjKpMwv",0.425,0.575,positive,,,,
34,@CrankyCentrist Actually Chicken was the one item that I did not buy because the prices were so high 🍗 I could not… https://t.co/5vPUtxvzJp,@CrankyCentrist Actually Chicken was the one item that I did not buy because the prices were so high 🍗 I could not… https://t.co/5vPUtxvzJp,-0.21999999999999997,0.7449999999999999,neutral,0.0,1.0,0.0,0.0
35,@WhiteHouse Bull butter. When he took office places was shut down. Explain why unemployment has went up? If he is s… https://t.co/ZdFWyLo56t,@WhiteHouse Bull butter. When he took office places was shut down. Explain why unemployment has went up? If he is s… https://t.co/ZdFWyLo56t,-0.15555555555555559,0.2888888888888889,negative,,,,
36,@sirdurdur @WallStreetSilv Poors still gonna eat the corporate slop and ultra processed junk even if the price of n… https://t.co/xTVw48qo7j,@sirdurdur @WallStreetSilv Poors still gonna eat the corporate slop and ultra processed junk even if the price of n… https://t.co/xTVw48qo7j,0.0,0.0,neutral,0.0,1.0,0.0,0.0
37,"RT @JoyAndDefiance: @amandalhu to me it's an argument for the deep unity of the pandemic as ongoing disaster &amp; the cost of living crisis, a…","RT @JoyAndDefiance: @amandalhu to me it's an argument for the deep unity of the pandemic as ongoing disaster &amp; the cost of living crisis, a…",0.0,0.4,negative,,,,
39,"@reeseyl21 Micah, I'm so sorry to hear this. It just makes her hair limp, anyway.  What natural oil is in Mielle? I… https://t.co/0toimlXdkW","@reeseyl21 Micah, I'm so sorry to hear this. It just makes her hair limp, anyway.  What natural oil is in Mielle? I… https://t.co/0toimlXdkW",-0.19999999999999998,0.6333333333333333,positive,,,,
40,@Michael59503746 Buying 4 sticks of butter and a dozen eggs cost about $10 here in WV now.,@Michael59503746 Buying 4 sticks of butter and a dozen eggs cost about $10 here in WV now.,0.0,0.0,neutral,0.0,1.0,0.0,0.0
41,"RT @Fitcoineth: https://t.co/n4vUYFsST9

Part 2 of @Hybr1d_One #carnivorediet  journey!

Weekly shopping list with a total cost of $100 or…","RT @Fitcoineth: https://t.co/n4vUYFsST9

Part 2 of @Hybr1d_One #carnivorediet  journey!

Weekly shopping list with a total cost of $100 or…",0.0,0.75,neutral,0.0,1.0,0.0,0.0
42,RT @ZianElijahSmith: @LKing_1995 @VictorKoman @planetaryjim @NTechlibre @officialmcafee @wbuppert @Cathylz @cappymar @RyllaSmith @krhedward…,RT @ZianElijahSmith: @LKing_1995 @VictorKoman @planetaryjim @NTechlibre @officialmcafee @wbuppert @Cathylz @cappymar @RyllaSmith @krhedward…,0.0,0.0,neutral,0.0,1.0,0.0,0.0
43,"All my @GroveToken #GroveToken is now unstaked, cost next to nothing, transaction was fast, and went smooth as butt… https://t.co/eM7YeBbWHr","All my @GroveToken #GroveToken is now unstaked, cost next to nothing, transaction was fast, and went smooth as butt… https://t.co/eM7YeBbWHr",0.20000000000000004,0.3666666666666667,neutral,0.0,1.0,0.0,0.0
44,"Yes, un-sugarbombed peanut butter is better, and better for you I suppose. But in an era in which the cost of groce… https://t.co/b5pLEabrv6","Yes, un-sugarbombed peanut butter is better, and better for you I suppose. But in an era in which the cost of groce… https://t.co/b5pLEabrv6",0.5,0.5,positive,,,,
45,RT @hmkhan85: Just go through the red area. Huge price hike and surprisingly to a complete silence from the media. The cost of living and b…,RT @hmkhan85: Just go through the red area. Huge price hike and surprisingly to a complete silence from the media. The cost of living and b…,0.1666666666666667,0.43333333333333335,positive,,,,
47,"@TylerTSeaman @MelonieMac Eggs will be your best friend!

A pound of ground beef with some butter to cook it on wil… https://t.co/Pi75tUoAbw","@TylerTSeaman @MelonieMac Eggs will be your best friend!

A pound of ground beef with some butter to cook it on wil… https://t.co/Pi75tUoAbw",1.0,0.3,positive,,,,
50,Just go through the red area. Huge price hike and surprisingly to a complete silence from the media. The cost of li… https://t.co/GetGN1bTrn,Just go through the red area. Huge price hike and surprisingly to a complete silence from the media. The cost of li… https://t.co/GetGN1bTrn,0.1666666666666667,0.43333333333333335,positive,,,,
51,Why does a small packet of butter cost 100 here 😭,Why does a small packet of butter cost 100 here 😭,-0.25,0.4,neutral,0.0,1.0,0.0,0.0
52,"@jfwduffield @juliakite Sure, but if you are feeding 5 you need 2 of those chickens. And you can't eat just a chick… https://t.co/quOleJi2JX","@jfwduffield @juliakite Sure, but if you are feeding 5 you need 2 of those chickens. And you can't eat just a chick… https://t.co/quOleJi2JX",0.5,0.8888888888888888,positive,,,,
53,"@catturd2 Butter is right behind eggs.  Check out the cost today of batteries, not the little ones, the car batteries, etc","@catturd2 Butter is right behind eggs.  Check out the cost today of batteries, not the little ones, the car batteries, etc",-0.10059523809523811,0.5785714285714286,neutral,0.0,1.0,0.0,0.0
54,@LOCthedreamer1 I'm amazed at how tone deaf to the concerns of the bread and butter issues Roderick O'Gorman has be… https://t.co/j4LhhX9q8k,@LOCthedreamer1 I'm amazed at how tone deaf to the concerns of the bread and butter issues Roderick O'Gorman has be… https://t.co/j4LhhX9q8k,0.0,0.0,positive,,,,
55,@catturd2 Pretty dam close as it is went to the store the other day a dozen eggs was 7 bucks for the store brand an… https://t.co/dlGzRT3eQC,@catturd2 Pretty dam close as it is went to the store the other day a dozen eggs was 7 bucks for the store brand an… https://t.co/dlGzRT3eQC,0.0625,0.6875,positive,,,,
57,@RM63128921 @WallStreetSilv it will cost at least 3 times what the jar costs to make Alfredo sauce...a stick of but… https://t.co/pSoFP8KD54,@RM63128921 @WallStreetSilv it will cost at least 3 times what the jar costs to make Alfredo sauce...a stick of but… https://t.co/pSoFP8KD54,-0.3,0.4,neutral,0.0,1.0,0.0,0.0
58,@DarrenZed I personally am responsible for the cost of butter. Wait did I just out myself as PMJT alt account?,@DarrenZed I personally am responsible for the cost of butter. Wait did I just out myself as PMJT alt account?,0.2,0.55,positive,,,,
60,@GundamIsHere I guess Cat Ladies have been upgraded to dog moms. Must cost a lot of peanut butter.,@GundamIsHere I guess Cat Ladies have been upgraded to dog moms. Must cost a lot of peanut butter.,0.0,0.0,neutral,0.0,1.0,0.0,0.0
62,@amandalhu to me it's an argument for the deep unity of the pandemic as ongoing disaster &amp; the cost of living crisi… https://t.co/FKoWe2DhkQ,@amandalhu to me it's an argument for the deep unity of the pandemic as ongoing disaster &amp; the cost of living crisi… https://t.co/FKoWe2DhkQ,0.0,0.4,negative,,,,
63,"RT @THECHAINMEDIA: With Syscoin, all of your blockchain-related activities will be extremely efficient and leave a small digital footprint,…","RT @THECHAINMEDIA: With Syscoin, all of your blockchain-related activities will be extremely efficient and leave a small digital footprint,…",-0.125,0.4666666666666666,positive,,,,
64,@GPinks GM at store “why has food cost gone up 32%?” Food and Beverage manager “follow me please.” GM…😳”butter is n… https://t.co/wIMTPgY8YU,@GPinks GM at store “why has food cost gone up 32%?” Food and Beverage manager “follow me please.” GM…😳”butter is n… https://t.co/wIMTPgY8YU,0.0,0.0,neutral,0.0,1.0,0.0,0.0
65,"@TheQuartering Don’t give them any ideas Jeremy. I bake bread for a living, the cost of flour doubled in the last y… https://t.co/7sq88sLIxp","@TheQuartering Don’t give them any ideas Jeremy. I bake bread for a living, the cost of flour doubled in the last y… https://t.co/7sq88sLIxp",0.0,0.06666666666666667,neutral,0.0,1.0,0.0,0.0
66,"@CitizenFreePres American Capitalism = $30 for two buckets of popcorn, raw butter and popcorn cost = $1.50.","@CitizenFreePres American Capitalism = $30 for two buckets of popcorn, raw butter and popcorn cost = $1.50.",-0.11538461538461539,0.23076923076923078,neutral,0.0,1.0,0.0,0.0
67,@LKing_1995 @VictorKoman @planetaryjim @NTechlibre @officialmcafee @wbuppert @Cathylz @cappymar @RyllaSmith… https://t.co/TAtnvOyLhp,@LKing_1995 @VictorKoman @planetaryjim @NTechlibre @officialmcafee @wbuppert @Cathylz @cappymar @RyllaSmith… https://t.co/TAtnvOyLhp,0.0,0.0,neutral,0.0,1.0,0.0,0.0
68,"@SGlasoe @slrdriving @kxly4news How about cost of living.....
Butter 2 years ago was $1.50 now $4.50
While yes drug… https://t.co/GwNbqGLfVc","@SGlasoe @slrdriving @kxly4news How about cost of living.....
Butter 2 years ago was $1.50 now $4.50
While yes drug… https://t.co/GwNbqGLfVc",0.0,0.0,positive,,,,
72,"9. Butter and Full-Fat Cheese

That creamy taste comes at a cost. These dairy products are full of saturated fat. W… https://t.co/artU60C4hw","9. Butter and Full-Fat Cheese

That creamy taste comes at a cost. These dairy products are full of saturated fat. W… https://t.co/artU60C4hw",0.35,0.55,neutral,0.0,1.0,0.0,0.0
82,"Our socialist hellscape seized the means of peanut butter cup production from Reese, and because of the resources s… https://t.co/U7eTi5OAZz","Our socialist hellscape seized the means of peanut butter cup production from Reese, and because of the resources s… https://t.co/U7eTi5OAZz",0.0,0.0,neutral,0.0,1.0,0.0,0.0
90,@kylegriffin1 Yeah but 12 eggs and a tiny container of butter still cost more than $10.00.,@kylegriffin1 Yeah but 12 eggs and a tiny container of butter still cost more than $10.00.,0.25,0.5,positive,,,,
93,"And generally that is for the butter lbs, but most suppliers have margin on top of that, adding to the cost.

Then… https://t.co/YJN3umFo9E","And generally that is for the butter lbs, but most suppliers have margin on top of that, adding to the cost.

Then… https://t.co/YJN3umFo9E",0.35000000000000003,0.5,positive,,,,
94,@clarencehilljr Are you kidding? Dan Quinn still cannot stop the run and Brady will go through our secondary like b… https://t.co/5OQqhbd0qF,@clarencehilljr Are you kidding? Dan Quinn still cannot stop the run and Brady will go through our secondary like b… https://t.co/5OQqhbd0qF,-0.3,0.3,positive,,,,
95,"@cmclymer Not sure what they cost in the States, but you'd need to take out a second mortgage to pay for those two… https://t.co/3acr4OOfPB","@cmclymer Not sure what they cost in the States, but you'd need to take out a second mortgage to pay for those two… https://t.co/3acr4OOfPB",-0.125,0.4444444444444444,negative,,,,
97,@HaruhikoHideo @BornAKang Maybe because you got the whole snack platter on your damn popcorn not just synthetic but… https://t.co/B9yvdOL18I,@HaruhikoHideo @BornAKang Maybe because you got the whole snack platter on your damn popcorn not just synthetic but… https://t.co/B9yvdOL18I,0.2,0.4,negative,,,,
98,"@wideworldofdirt Thankfully a lot of the comments have people insisting that it is, in fact, 🔥

He's LAYERING the b… https://t.co/2rhU6VBZck","@wideworldofdirt Thankfully a lot of the comments have people insisting that it is, in fact, 🔥

He's LAYERING the b… https://t.co/2rhU6VBZck",0.0,0.0,positive,,,,
99,"Guns or butter?
“Federal subsidies for Paxlovid and vaccines expire in January. The out-of-pocket cost is expected… https://t.co/QQcIVgKdQQ","Guns or butter?
“Federal subsidies for Paxlovid and vaccines expire in January. The out-of-pocket cost is expected… https://t.co/QQcIVgKdQQ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
